,Date,Open,High,Low,Close,Adj Close,Volume,Company_ID
0,11-04-2022,789.450012,794.25,784.049988,786.049988,784.055176,6340427,1
1,12-04-2022,780.099976,801.0,777.799988,798.450012,796.423767,7672215,1
2,13-04-2022,805.799988,805.799988,790.849976,793.049988,791.037415,7640132,1
3,18-04-2022,780.0,801.650024,776.0,798.849976,796.822754,11478317,1
4,19-04-2022,805.0,816.200012,785.549988,797.799988,795.775391,8711816,1
5,20-04-2022,800.849976,802.450012,788.599976,794.700012,792.683289,6676491,1
6,21-04-2022,795.099976,804.0,790.549988,801.799988,799.765259,6851615,1
7,22-04-2022,796.0,798.0,778.200012,780.599976,778.619019,6255027,1
8,25-04-2022,772.0,788.799988,761.25,780.700012,778.718811,8023525,1
9,26-04-2022,791.0,796.599976,769.0,775.0,773.033264,11087204,1
10,27-04-2022,765.599976,772.950012,749.0,765.900024,763.95636,11485697,1
11,28-04-2022,776.900024,785.450012,766.349976,779.799988,777.821045,11037317,1
12,29-04-2022,765.0,766.849976,725.0,728.599976,726.750977,34401710,1
13,02-05-2022,722.0,738.200012,718.5,727.349976,725.50415,16136040,1
14,04-05-2022,733.0,735.150024,704.0,707.200012,705.405334,14548684,1
15,05-05-2022,716.0,721.799988,698.900024,702.349976,700.567627,12726146,1
16,06-05-2022,690.0,692.5,668.099976,673.400024,671.691101,15511195,1
17,09-05-2022,660.200012,669.0,648.799988,663.700012,662.015747,13999329,1
18,10-05-2022,663.700012,672.099976,657.549988,659.75,658.075745,9523698,1
19,11-05-2022,661.700012,676.0,655.450012,672.349976,670.643738,9352398,1
20,12-05-2022,667.0,667.0,644.0,649.650024,648.001404,11166084,1
21,13-05-2022,656.400024,659.400024,633.400024,635.950012,634.336121,9618627,1
22,16-05-2022,639.849976,649.200012,630.049988,638.950012,637.328491,6159695,1
23,17-05-2022,642.900024,657.5,641.150024,654.950012,653.287964,8152237,1
24,18-05-2022,654.75,670.400024,650.299988,659.450012,657.77655,13013873,1
25,19-05-2022,643.299988,657.75,641.200012,650.200012,648.549988,9216948,1
26,20-05-2022,659.75,675.75,658.0,673.099976,671.391846,9708672,1
27,23-05-2022,673.0,684.799988,668.549988,675.349976,673.636108,7919353,1
28,24-05-2022,669.700012,681.450012,661.200012,664.049988,662.364807,8088546,1
29,25-05-2022,668.0,672.650024,660.049988,665.0,663.312439,5169619,1
30,26-05-2022,672.950012,685.25,668.0,683.25,681.516113,10114633,1
31,27-05-2022,689.0,693.799988,684.25,688.299988,686.553223,5539060,1
32,30-05-2022,695.099976,698.0,690.099976,693.650024,691.889709,3818060,1
33,31-05-2022,689.0,696.0,683.049988,685.200012,683.461182,10410424,1
34,01-06-2022,683.0,692.450012,680.5,686.049988,684.30896,6966674,1
35,02-06-2022,682.0,693.150024,682.0,691.549988,689.794983,6347433,1
36,03-06-2022,697.299988,698.0,673.150024,677.299988,675.581177,8475726,1
37,06-06-2022,677.0,684.0,670.299988,672.200012,670.494141,6756864,1
38,07-06-2022,672.200012,678.0,661.099976,665.849976,664.160217,8312778,1
39,08-06-2022,670.0,673.549988,655.450012,658.599976,656.92865,9282494,1
40,09-06-2022,656.950012,662.75,650.0,661.299988,659.621826,5682743,1
41,10-06-2022,655.5,663.700012,652.200012,660.700012,659.023376,6758832,1
42,13-06-2022,646.950012,652.0,640.099976,648.950012,647.303162,6135431,1
43,14-06-2022,645.0,655.700012,643.099976,650.75,649.098572,5391833,1
44,15-06-2022,654.0,656.349976,647.200012,650.5,648.849243,4638336,1
45,16-06-2022,657.5,658.200012,631.049988,634.900024,633.288818,5960283,1
46,17-06-2022,630.0,640.799988,626.599976,635.200012,633.588074,6849201,1
47,20-06-2022,635.25,637.150024,622.200012,628.299988,626.705505,5305222,1
48,21-06-2022,632.0,645.349976,628.150024,636.5,634.884705,10333886,1
49,22-06-2022,632.549988,633.650024,621.25,626.799988,625.209351,5899024,1
50,23-06-2022,627.400024,640.849976,618.25,629.349976,627.752808,8450777,1
51,24-06-2022,634.349976,642.450012,631.650024,634.0,632.391113,6918584,1
52,27-06-2022,644.0,646.900024,634.700012,637.099976,635.483154,4552114,1
53,28-06-2022,634.0,644.700012,632.0,642.349976,640.71991,10711123,1
54,29-06-2022,636.349976,637.799988,623.5,625.549988,623.962524,13620084,1
55,30-06-2022,624.0,639.299988,623.650024,636.799988,635.18396,10563138,1
56,01-07-2022,633.0,646.599976,631.799988,643.950012,642.315857,6549359,1
57,04-07-2022,641.549988,655.150024,640.5,654.349976,652.689453,3933384,1
58,05-07-2022,656.099976,659.900024,646.0,648.5,646.854248,5044787,1
59,06-07-2022,652.0,659.400024,651.0,657.950012,656.280334,6684686,1
60,07-07-2022,663.450012,664.5,651.650024,658.150024,657.479065,11171714,1
61,08-07-2022,667.0,676.799988,661.400024,669.150024,668.467896,12669533,1
62,11-07-2022,666.549988,681.950012,665.349976,679.849976,679.156921,14864123,1
63,12-07-2022,677.0,685.25,673.0,676.200012,675.510681,6446810,1
64,13-07-2022,680.0,685.0,676.950012,679.900024,679.206909,9614674,1
65,14-07-2022,678.599976,680.450012,665.599976,668.25,667.568787,8026311,1
66,15-07-2022,670.0,674.200012,659.099976,662.200012,661.524963,6015057,1
67,18-07-2022,668.049988,688.0,663.450012,684.5,683.802185,12464664,1
68,19-07-2022,678.599976,703.849976,678.599976,700.599976,699.885742,10171314,1
69,20-07-2022,706.299988,714.5,702.700012,705.700012,704.980591,11620331,1
70,21-07-2022,707.950012,718.450012,704.349976,715.549988,714.820557,8036515,1
71,22-07-2022,717.0,735.0,715.099976,730.75,730.005066,9713490,1
72,25-07-2022,733.5,738.799988,722.5,727.349976,726.608521,6230411,1
73,26-07-2022,722.900024,723.450012,702.049988,706.450012,705.729858,14135744,1
74,27-07-2022,707.950012,720.549988,703.599976,718.950012,718.217102,6106880,1
75,28-07-2022,725.0,733.700012,723.049988,725.900024,725.160034,6964838,1
76,29-07-2022,733.900024,734.950012,723.0,724.75,724.011169,6624854,1
77,01-08-2022,726.0,732.299988,720.400024,730.799988,730.054993,5493105,1
78,02-08-2022,727.0,734.349976,721.099976,730.450012,729.705383,7275626,1
79,03-08-2022,730.0,738.5,727.5,730.5,729.75531,9458761,1
80,04-08-2022,735.200012,736.700012,712.200012,721.599976,720.86438,7466635,1
81,05-08-2022,724.0,731.200012,721.200012,728.5,727.757324,4583196,1
82,08-08-2022,730.0,747.349976,728.099976,745.549988,744.789978,8191870,1
83,10-08-2022,745.0,747.849976,736.150024,739.0,738.246643,9069541,1
84,11-08-2022,743.049988,760.650024,743.049988,758.849976,758.076416,12384073,1
85,12-08-2022,758.700012,762.0,753.400024,760.549988,759.774658,4614341,1
86,16-08-2022,765.0,772.0,758.450012,764.650024,763.870544,7051498,1
87,17-08-2022,771.400024,773.75,766.25,772.099976,771.312866,7674390,1
88,18-08-2022,772.0,776.0,762.099976,765.049988,764.270081,9449924,1
89,19-08-2022,772.0,772.650024,750.25,757.5,756.727783,7553270,1
90,22-08-2022,753.400024,754.450012,739.200012,741.849976,741.09375,4994311,1
91,23-08-2022,738.0,750.849976,733.799988,747.049988,746.288452,6594634,1
92,24-08-2022,745.0,752.049988,742.0,750.150024,749.385315,6875820,1
93,25-08-2022,753.900024,758.599976,740.0,743.349976,742.592163,6320890,1
94,26-08-2022,748.0,755.0,741.299988,744.900024,744.140686,4613713,1
95,29-08-2022,730.0,734.900024,722.049988,728.700012,727.957153,5904146,1
96,30-08-2022,733.0,753.549988,733.0,751.5,750.733887,9193270,1
97,01-09-2022,733.5,754.900024,733.5,744.150024,743.391418,9353805,1
98,02-09-2022,749.0,754.549988,740.25,750.200012,749.435242,7767812,1
99,05-09-2022,750.200012,758.799988,749.349976,756.099976,755.329224,5894055,1
